ID,mimicryEstablishment0,mimicryEstablishment1,mimicryEstablishment2,mimicryBeginSfxId0,mimicrySfxId0,mimicryEndSfxId0,mimicryBeginSfxId1,mimicrySfxId1,mimicryEndSfxId1,mimicryBeginSfxId2,mimicrySfxId2,mimicryEndSfxId2,pad1
0,333,333,333,-1,302604,302603,-1,302605,302603,-1,302606,302603,System.Byte[]
6100000,333,333,333,-1,302607,302603,-1,302608,302603,-1,302609,302603,System.Byte[]
6102000,333,333,333,-1,302607,302603,-1,302608,302603,-1,302609,302603,System.Byte[]
6200000,333,333,333,-1,302613,302603,-1,302614,302603,-1,302606,302603,System.Byte[]
6202000,333,333,333,-1,302613,302603,-1,302614,302603,-1,302606,302603,System.Byte[]
6300000,333,333,333,-1,302615,302603,-1,302616,302603,-1,302644,302603,System.Byte[]
6301000,333,333,333,-1,302615,302603,-1,302616,302603,-1,302644,302603,System.Byte[]
6302000,333,333,333,-1,302615,302603,-1,302616,302603,-1,302644,302603,System.Byte[]
6400000,333,333,333,-1,302617,302603,-1,302618,302603,-1,302645,302603,System.Byte[]
6402000,333,333,333,-1,302617,302603,-1,302618,302603,-1,302645,302603,System.Byte[]
6500000,333,333,333,-1,302619,302603,-1,302620,302603,-1,302621,302603,System.Byte[]
6501000,333,333,333,-1,302619,302603,-1,302620,302603,-1,302621,302603,System.Byte[]
6502000,333,333,333,-1,302619,302603,-1,302620,302603,-1,302621,302603,System.Byte[]
6503000,333,333,333,-1,302619,302603,-1,302620,302603,-1,302621,302603,System.Byte[]
10000800,333,333,333,-1,302610,302603,-1,302611,302603,-1,302612,302603,System.Byte[]
11000800,333,333,333,-1,302622,302603,-1,302623,302603,-1,302646,302603,System.Byte[]
11000850,333,333,333,-1,302622,302603,-1,302623,302603,-1,302646,302603,System.Byte[]
11050800,333,333,333,-1,302622,302603,-1,302623,302603,-1,302646,302603,System.Byte[]
11050850,333,333,333,-1,302622,302603,-1,302623,302603,-1,302646,302603,System.Byte[]
12010800,333,333,333,-1,302624,302603,-1,302647,302603,-1,302648,302603,System.Byte[]
12020800,333,333,333,-1,302625,302603,-1,302626,302603,-1,302627,302603,System.Byte[]
12020850,333,333,333,-1,302625,302603,-1,302626,302603,-1,302627,302603,System.Byte[]
12030800,333,333,333,-1,302628,302603,-1,302649,302603,-1,302650,302603,System.Byte[]
12040800,333,333,333,-1,302624,302603,-1,302647,302603,-1,302648,302603,System.Byte[]
12050800,333,333,333,-1,302629,302603,-1,302630,302603,-1,302631,302603,System.Byte[]
12080800,333,333,333,-1,302625,302603,-1,302626,302603,-1,302627,302603,System.Byte[]
13000800,333,333,333,-1,302651,302603,-1,302652,302603,-1,302653,302603,System.Byte[]
13000830,333,333,333,-1,302651,302603,-1,302652,302603,-1,302653,302603,System.Byte[]
13000850,333,333,333,-1,302651,302603,-1,302652,302603,-1,302653,302603,System.Byte[]
14000800,333,333,333,-1,302632,302603,-1,302633,302603,-1,302634,302603,System.Byte[]
14000850,333,333,333,-1,302632,302603,-1,302633,302603,-1,302634,302603,System.Byte[]
15000800,333,333,333,-1,302635,302603,-1,302636,302603,-1,302637,302603,System.Byte[]
15000850,333,333,333,-1,302635,302603,-1,302636,302603,-1,302637,302603,System.Byte[]
16000800,333,333,333,-1,302638,302603,-1,302639,302603,-1,302654,302603,System.Byte[]
16000850,333,333,333,-1,302638,302603,-1,302639,302603,-1,302654,302603,System.Byte[]
16000860,333,333,333,-1,302638,302603,-1,302639,302603,-1,302654,302603,System.Byte[]
18000800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30000800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30010800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30020800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30030800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30040800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30050800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30060800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30070800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30080800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30090800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
