ID,sfxId_00,sfxId_01,sfxId_02,sfxId_03,sfxId_04,sfxId_05,sfxId_06,sfxId_07,sfxId_08,sfxId_09,sfxId_10,sfxId_11,sfxId_12,sfxId_13,sfxId_14,sfxId_15,sfxId_16,sfxId_17,sfxId_18,sfxId_19,sfxId_20,sfxId_21,sfxId_22,sfxId_23,sfxId_24,sfxId_25,sfxId_26,sfxId_27,sfxId_28,sfxId_29,sfxId_30,pad1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
101,262501,262502,0,0,0,262511,262512,0,0,0,262521,262522,0,0,0,262531,262532,262533,262534,262535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
107,263501,263502,0,0,0,263511,263512,0,0,0,263521,263522,0,0,0,263531,263532,263533,263534,263535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
109,220501,220502,0,0,0,220511,220512,0,0,0,220521,220522,0,0,0,220531,220532,220533,220534,220535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
110,220501,220502,0,0,0,220511,220512,0,0,0,220521,220522,0,0,0,220531,220532,220533,220534,220535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
111,220501,220502,0,0,0,220511,220512,0,0,0,220521,220522,0,0,0,220531,220532,220533,220534,220535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
112,215501,215502,0,0,0,215511,215512,0,0,0,215521,215522,0,0,0,215531,215532,215533,215534,215535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
114,250501,250502,0,0,0,250511,250512,0,0,0,250521,250522,0,0,0,250531,250532,250533,250534,250535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
115,250501,250502,0,0,0,250511,250512,0,0,0,250521,250522,0,0,0,250531,250532,250533,250534,250535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
116,210501,210502,0,0,0,210511,210512,0,0,0,210521,210522,0,0,0,210531,210532,210533,210534,210535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
117,210501,210502,0,0,0,210511,210512,0,0,0,210521,210522,0,0,0,210531,210532,210533,210534,210535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
118,270501,270502,0,0,0,270511,270512,0,0,0,270521,270522,0,0,0,270531,270532,270533,270534,270535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
119,234501,234502,0,0,0,234511,234512,0,0,0,234521,234522,0,0,0,234531,234532,234533,234534,234535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
120,234501,234502,0,0,0,234511,234512,0,0,0,234521,234522,0,0,0,234531,234532,234533,234534,234535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
121,258501,258502,0,0,0,258511,258512,0,0,0,258521,258522,0,0,0,258531,258532,258533,258534,258535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
122,211501,211502,0,0,0,211511,211512,0,0,0,211521,211522,0,0,0,211531,211532,211533,211534,211535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
123,210501,210502,0,0,0,210511,210512,0,0,0,210521,210522,0,0,0,210531,210532,210533,210534,210535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
124,210501,210502,0,0,0,210511,210512,0,0,0,210521,210522,0,0,0,210531,210532,210533,210534,210535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
125,210501,210502,0,0,0,210511,210512,0,0,0,210521,210522,0,0,0,210531,210532,210533,210534,210535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
126,258501,258502,0,0,0,258511,258512,0,0,0,258521,258522,0,0,0,258531,258532,258533,258534,258535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
128,271501,271502,0,0,0,271511,271512,0,0,0,271521,271522,0,0,0,271531,271532,271533,271534,271535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
130,220501,220502,0,0,0,220511,220512,0,0,0,220521,220522,0,0,0,220531,220532,220533,220534,220535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
131,220501,220502,0,0,0,220511,220512,0,0,0,220521,220522,0,0,0,220531,220532,220533,220534,220535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
134,254501,254502,0,0,0,254511,254512,0,0,0,254521,254522,0,0,0,254531,254532,254533,254534,254535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
135,220501,220502,0,0,0,220511,220512,0,0,0,220521,220522,0,0,0,220531,220532,220533,220534,220535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
136,220501,220502,0,0,0,220511,220512,0,0,0,220521,220522,0,0,0,220531,220532,220533,220534,220535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
142,252501,252502,0,0,0,252511,252512,0,0,0,252521,252522,0,0,0,252531,252532,252533,252534,252535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
143,252501,252502,0,0,0,252511,252512,0,0,0,252521,252522,0,0,0,252531,252532,252533,252534,252535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
145,224501,224502,0,0,0,224511,224512,0,0,0,224521,224522,0,0,0,224531,224532,224533,224534,224535,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
