ID,disableParam_NT,disableParamReserve1,disableParamReserve2,AssetId_0,AssetId_1,AssetId_2,AssetId_3,AssetId_4,AssetId_5,AssetId_6,AssetId_7,CreateWeight_0,CreateWeight_1,CreateWeight_2,CreateWeight_3,CreateWeight_4,CreateWeight_5,CreateWeight_6,CreateWeight_7,Reserve_0
10000000,0,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,System.Byte[]
10010000,1,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,System.Byte[]
11000000,1,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,System.Byte[]
11050000,1,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,System.Byte[]
12000000,1,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,System.Byte[]
12010000,1,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,System.Byte[]
12020000,1,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,System.Byte[]
12030000,1,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,System.Byte[]
12040000,1,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,System.Byte[]
12050000,1,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,System.Byte[]
12060000,1,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,System.Byte[]
13000000,1,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,System.Byte[]
14000000,1,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,System.Byte[]
15000000,1,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,System.Byte[]
15020000,1,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,System.Byte[]
16000000,1,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0,0,0,System.Byte[]
