ID,value,captionId,iconId,reserved
0,1,0,0,System.Byte[]
1,2,0,0,System.Byte[]
2,3,0,0,System.Byte[]
100,0,421110,0,System.Byte[]
101,1,421111,0,System.Byte[]
102,2,421112,0,System.Byte[]
103,3,421113,0,System.Byte[]
104,4,421114,0,System.Byte[]
105,5,421115,0,System.Byte[]
106,6,421116,0,System.Byte[]
107,7,421117,0,System.Byte[]
108,8,421118,0,System.Byte[]
120,0,297170,0,System.Byte[]
121,1,297171,0,System.Byte[]
130,0,0,200,System.Byte[]
131,1,0,201,System.Byte[]
132,2,0,202,System.Byte[]
133,3,0,203,System.Byte[]
134,4,0,204,System.Byte[]
135,5,0,205,System.Byte[]
240,1000,297200,110,System.Byte[]
241,1001,297201,111,System.Byte[]
242,1002,297202,112,System.Byte[]
243,1003,297203,113,System.Byte[]
244,1004,297204,114,System.Byte[]
245,1005,297205,115,System.Byte[]
246,1006,297206,116,System.Byte[]
247,1007,297207,117,System.Byte[]
248,1008,297208,118,System.Byte[]
249,1009,297209,119,System.Byte[]
260,2000,297220,130,System.Byte[]
261,2001,297221,131,System.Byte[]
262,2002,297222,132,System.Byte[]
263,2003,297223,133,System.Byte[]
264,2004,297224,134,System.Byte[]
265,2005,297225,135,System.Byte[]
266,2006,297226,136,System.Byte[]
267,2007,297227,137,System.Byte[]
268,2008,297228,138,System.Byte[]
269,2009,297229,139,System.Byte[]
300,0,0,1,System.Byte[]
301,1,0,2,System.Byte[]
302,2,0,3,System.Byte[]
303,3,0,4,System.Byte[]
304,4,0,5,System.Byte[]
305,5,0,6,System.Byte[]
306,6,0,7,System.Byte[]
307,7,0,8,System.Byte[]
308,8,0,9,System.Byte[]
400,0,0,1,System.Byte[]
401,1,0,2,System.Byte[]
402,2,0,3,System.Byte[]
403,3,0,4,System.Byte[]
404,4,0,5,System.Byte[]
405,5,0,6,System.Byte[]
406,6,0,7,System.Byte[]
407,7,0,8,System.Byte[]
408,8,0,9,System.Byte[]
500,0,0,10,System.Byte[]
501,1,0,11,System.Byte[]
502,2,0,12,System.Byte[]
503,3,0,13,System.Byte[]
504,4,0,14,System.Byte[]
505,5,0,15,System.Byte[]
506,6,0,16,System.Byte[]
507,7,0,17,System.Byte[]
508,8,0,18,System.Byte[]
509,9,0,19,System.Byte[]
510,10,0,20,System.Byte[]
511,11,0,21,System.Byte[]
512,12,0,22,System.Byte[]
513,13,0,23,System.Byte[]
514,14,0,24,System.Byte[]
515,15,0,25,System.Byte[]
516,16,0,26,System.Byte[]
600,0,0,30,System.Byte[]
601,1,0,31,System.Byte[]
602,2,0,32,System.Byte[]
603,3,0,33,System.Byte[]
604,4,0,34,System.Byte[]
605,5,0,35,System.Byte[]
606,6,0,36,System.Byte[]
607,7,0,37,System.Byte[]
608,8,0,38,System.Byte[]
609,9,0,39,System.Byte[]
610,10,0,40,System.Byte[]
611,11,0,41,System.Byte[]
620,0,0,30,System.Byte[]
621,1,0,31,System.Byte[]
622,2,0,32,System.Byte[]
623,3,0,33,System.Byte[]
624,4,0,34,System.Byte[]
625,5,0,35,System.Byte[]
626,6,0,36,System.Byte[]
627,7,0,37,System.Byte[]
628,8,0,38,System.Byte[]
629,9,0,39,System.Byte[]
630,10,0,40,System.Byte[]
631,11,0,41,System.Byte[]
700,0,0,70,System.Byte[]
701,113,0,71,System.Byte[]
702,112,0,72,System.Byte[]
703,1,0,73,System.Byte[]
704,2,0,74,System.Byte[]
705,3,0,75,System.Byte[]
706,100,0,76,System.Byte[]
707,5,0,77,System.Byte[]
708,10,0,78,System.Byte[]
709,101,0,79,System.Byte[]
710,9,0,80,System.Byte[]
711,8,0,81,System.Byte[]
712,6,0,82,System.Byte[]
713,7,0,83,System.Byte[]
714,4,0,84,System.Byte[]
715,102,0,85,System.Byte[]
716,103,0,86,System.Byte[]
717,104,0,87,System.Byte[]
718,105,0,88,System.Byte[]
719,106,0,89,System.Byte[]
720,107,0,90,System.Byte[]
721,109,0,91,System.Byte[]
722,108,0,92,System.Byte[]
723,111,0,93,System.Byte[]
724,110,0,94,System.Byte[]
800,0,0,50,System.Byte[]
801,1,0,51,System.Byte[]
802,2,0,57,System.Byte[]
803,3,0,58,System.Byte[]
804,4,0,59,System.Byte[]
805,5,0,60,System.Byte[]
806,6,0,61,System.Byte[]
807,7,0,62,System.Byte[]
808,8,0,63,System.Byte[]
809,9,0,64,System.Byte[]
810,10,0,65,System.Byte[]
811,11,0,68,System.Byte[]
812,12,0,69,System.Byte[]
813,13,0,111,System.Byte[]
814,14,0,113,System.Byte[]
815,15,0,114,System.Byte[]
816,16,0,116,System.Byte[]
817,17,0,117,System.Byte[]
818,18,0,118,System.Byte[]
819,20,0,120,System.Byte[]
820,21,0,121,System.Byte[]
821,22,0,122,System.Byte[]
822,23,0,123,System.Byte[]
823,24,0,124,System.Byte[]
824,25,0,125,System.Byte[]
825,26,0,126,System.Byte[]
826,27,0,128,System.Byte[]
827,28,0,129,System.Byte[]
828,29,0,130,System.Byte[]
829,30,0,131,System.Byte[]
830,31,0,132,System.Byte[]
831,32,0,133,System.Byte[]
832,33,0,134,System.Byte[]
833,34,0,135,System.Byte[]
834,35,0,136,System.Byte[]
835,36,0,137,System.Byte[]
836,37,0,138,System.Byte[]
837,38,0,139,System.Byte[]
900,3,0,240,System.Byte[]
901,2,0,241,System.Byte[]
902,1,0,242,System.Byte[]
903,10,0,243,System.Byte[]
1000,0,0,1,System.Byte[]
1001,1,0,2,System.Byte[]
1002,2,0,3,System.Byte[]
1003,3,0,4,System.Byte[]
1004,4,0,5,System.Byte[]
1005,5,0,6,System.Byte[]
1006,6,0,7,System.Byte[]
1007,7,0,8,System.Byte[]
1008,8,0,9,System.Byte[]
1100,0,0,100,System.Byte[]
1101,1,0,101,System.Byte[]
1102,2,0,102,System.Byte[]
1103,3,0,103,System.Byte[]
1200,0,297180,0,System.Byte[]
1201,1,297181,0,System.Byte[]
1300,1,297185,0,System.Byte[]
1301,0,297186,0,System.Byte[]
1310,1,297187,0,System.Byte[]
1311,0,297188,0,System.Byte[]
100000,0,297100,0,System.Byte[]
100001,1,297101,0,System.Byte[]
100100,0,297110,0,System.Byte[]
100101,1,297111,0,System.Byte[]
100102,2,297112,0,System.Byte[]
100200,0,297130,0,System.Byte[]
100201,1,297131,0,System.Byte[]
100202,2,297132,0,System.Byte[]
100203,3,297133,0,System.Byte[]
100204,4,297134,0,System.Byte[]
100205,5,297135,0,System.Byte[]
100206,6,297136,0,System.Byte[]
100207,7,297137,0,System.Byte[]
100208,8,297138,0,System.Byte[]
100209,9,297139,0,System.Byte[]
100300,0,297150,0,System.Byte[]
100301,1,297151,0,System.Byte[]
100302,2,297152,0,System.Byte[]
100303,3,297153,0,System.Byte[]
100304,4,297154,0,System.Byte[]
100305,5,297156,0,System.Byte[]
100306,6,297157,0,System.Byte[]
100307,7,297158,0,System.Byte[]
100400,0,297120,0,System.Byte[]
100401,1,297121,0,System.Byte[]
100402,2,297122,0,System.Byte[]
