ID,AtkChrId,DefChrId,Dist,DiffAngMin,DiffAngMax,upperYRange,lowerYRange,diffAngMyToDef,throwTypeId,atkAnimId,defAnimId,escHp,selfEscCycleTime,sphereCastRadiusRateTop,sphereCastRadiusRateLow,PadType,AtkEnableState,throwFollowingType,pad2,throwType,selfEscCycleCnt,dmyHasChrDirType,isTurnAtker,isSkipWepCate,isSkipSphereCast,isEnableCorrectPos_forThrowAdjust,isEnableThrowFollowingFallAssist,isEnableThrowFollowingFeedback,pad0,atkSorbDmyId,defSorbDmyId,Dist_start,DiffAngMin_start,DiffAngMax_start,upperYRange_start,lowerYRange_start,diffAngMyToDef_start,judgeRangeBasePosDmyId1,judgeRangeBasePosDmyId2,adsrobModelPosInterpolationTime,throwFollowingEndEasingTime,pad1
0,0,0,0,0,0,0.2,0.2,60,0,0,0,0,0,80,80,1,0,0,System.Byte[],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0.5,System.Byte[]
10,0,0,1.8,-180,180,0.5,0.65,80,10,45080,70630,0,0,70,70,1,0,0,System.Byte[],0,0,0,0,1,0,1,0,0,0,231,0,0,0,0,0,0,0,-1,-1,0,0.5,System.Byte[]
11,0,0,1.8,-180,180,0.5,0.65,80,11,45180,70630,0,0,70,70,1,0,0,System.Byte[],0,0,0,0,1,0,1,0,0,0,231,0,0,0,0,0,0,0,-1,-1,0,0.5,System.Byte[]
20,0,0,1.8,-180,180,0.5,0.65,80,20,40090,70010,0,0,70,70,1,0,0,System.Byte[],0,0,0,0,1,0,1,0,0,0,249,0,0,0,0,0,0,0,-1,-1,0,0.5,System.Byte[]
10000000,0,0,1.8,-120,120,0.5,0.65,120,0,31710,70000,0,0,70,70,1,0,1,System.Byte[],1,0,0,0,0,0,1,0,1,0,230,0,1.7,-35,35,0.4,0.55,70,-1,-1,0,0.5,System.Byte[]
30000000,0,0,1.5,90,-90,0.5,0.65,60,0,31700,70010,0,0,70,70,1,0,1,System.Byte[],20,0,0,0,0,0,1,0,1,0,231,0,0,0,0,0,0,0,-1,-1,0,0.5,System.Byte[]
10201020,0,2010,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10210020,0,2100,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10250020,0,2500,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10300020,0,3000,1.7,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10301020,0,3010,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10302020,0,3020,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10306020,0,3060,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10306120,0,3061,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10307020,0,3070,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10308020,0,3080,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10315020,0,3150,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10320020,0,3200,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10320120,0,3201,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10330020,0,3300,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10332020,0,3320,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,20,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10335020,0,3350,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10336020,0,3360,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,40,40,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10336120,0,3361,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,40,40,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10337020,0,3370,2,-180,180,0.65,0.65,60,20,40090,11010,0,0,40,40,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10337120,0,3371,2,-180,180,0.65,0.65,60,20,40090,11010,0,0,40,40,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10340020,0,3400,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10345020,0,3450,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10345120,0,3451,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,70,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10346020,0,3460,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,70,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10347020,0,3470,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10347120,0,3471,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10350020,0,3500,1.8,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
10351020,0,3510,1.6,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,0,System.Byte[],0,0,0,1,1,0,1,0,1,0,249,0,1.5,0,0,0.4,0.55,0,-1,-1,0,0.5,System.Byte[]
